Entity,Code,Year,"Female lung cancer deaths (per 100,000) (WHO (IARC) (2016))","Male lung cancer deaths per 100,000 (WHO (IARC) (2016))"
Japan,JPN,1984,7.69,27.32
Japan,JPN,1985,7.65,27.68
Japan,JPN,1986,7.73,27.54
Japan,JPN,1987,7.88,28.71
Japan,JPN,1988,8.03,29.3
Japan,JPN,1989,8.12,30.21
Japan,JPN,1990,7.9,30.35
Japan,JPN,1991,8.09,30.48
Japan,JPN,1992,8.34,30.74
Japan,JPN,1993,8.18,30.86
Japan,JPN,1994,8.32,31.06
Japan,JPN,1995,8.42,31.51
Japan,JPN,1996,8.55,31.95
Japan,JPN,1997,8.45,31.42
Japan,JPN,1998,8.56,31.37
Japan,JPN,1999,8.46,31.01
Japan,JPN,2000,8.4,30.89
Japan,JPN,2001,8.3,30.42
Japan,JPN,2002,8.04,30.22
Jordan,JOR,2002,3.2,15.3
Kazakhstan,KAZ,1981,7.9,55.3
Kazakhstan,KAZ,1982,8.06,52.67
Kazakhstan,KAZ,1985,8.5,59.51
Kazakhstan,KAZ,1986,8.81,62.24
Kazakhstan,KAZ,1987,7.93,63.72
Kazakhstan,KAZ,1988,9.35,65.08
Kazakhstan,KAZ,1989,9.48,67.84
Kazakhstan,KAZ,1990,9.63,70.64
Kazakhstan,KAZ,1991,9.75,69.87
Kazakhstan,KAZ,1992,8.97,71.09
Kazakhstan,KAZ,1993,8.97,70.73
Kazakhstan,KAZ,1994,8.79,63.97
Kazakhstan,KAZ,1995,8.56,63.25
Kazakhstan,KAZ,1996,8.64,59.47
Kazakhstan,KAZ,1997,8.36,57.33
Kazakhstan,KAZ,1998,7.93,58.45
Kazakhstan,KAZ,1999,8.17,54.38
Kazakhstan,KAZ,2000,7.67,54.61
Kazakhstan,KAZ,2001,7.47,51.71
Kazakhstan,KAZ,2002,7.42,52.04
Kenya,KEN,2002,2.1,4.1
Kuwait,KWT,1972,3.79,15.06
Kuwait,KWT,1975,5.25,17.93
Kuwait,KWT,1976,3.16,16.83
Kuwait,KWT,1977,2.63,24.86
Kuwait,KWT,1978,3.21,20.65
Kuwait,KWT,1979,7.24,24.6
Kuwait,KWT,1980,9.11,25.59
Kuwait,KWT,1981,7.58,16.69
Kuwait,KWT,1982,8.85,30.2
Kuwait,KWT,1983,7,24.54
Kuwait,KWT,1984,10.02,26.8
Kuwait,KWT,1985,6.49,26.09
Kuwait,KWT,1986,7.14,20.44
Kuwait,KWT,1987,4.92,18.66
Kuwait,KWT,1993,8.01,11.87
Kuwait,KWT,1994,5.65,11.79
Kuwait,KWT,1995,5.91,20.32
Kuwait,KWT,1996,5.55,19.63
Kuwait,KWT,1997,9.61,19.29
Kuwait,KWT,1998,9.33,15.92
Kuwait,KWT,1999,2.79,11.48
Kuwait,KWT,2000,5.26,16.99
Kuwait,KWT,2001,4.74,9.58
Kuwait,KWT,2002,3.08,12.28
Kyrgyzstan,KGZ,1981,4.3,28.77
Kyrgyzstan,KGZ,1982,4.04,33.23
Kyrgyzstan,KGZ,1985,3.5,31.19
Kyrgyzstan,KGZ,1986,4.54,32.68
Kyrgyzstan,KGZ,1987,5.24,32.19
Kyrgyzstan,KGZ,1988,5.68,35.11
Kyrgyzstan,KGZ,1989,4.73,38.71
Kyrgyzstan,KGZ,1990,6.07,35.14
Kyrgyzstan,KGZ,1991,5.41,36.29
Kyrgyzstan,KGZ,1992,5.66,36.41
Kyrgyzstan,KGZ,1993,4.21,28.15
Kyrgyzstan,KGZ,1994,5.01,25.47
Kyrgyzstan,KGZ,1995,3.76,25.99
Kyrgyzstan,KGZ,1996,4.02,24.04
Kyrgyzstan,KGZ,1997,4.65,23.69
Kyrgyzstan,KGZ,1998,4.27,22.31
Kyrgyzstan,KGZ,1999,3.55,22.84
Kyrgyzstan,KGZ,2000,4.78,20.38
Kyrgyzstan,KGZ,2001,4.55,19.35
Kyrgyzstan,KGZ,2002,4.08,22.15
Laos,LAO,2002,6,16.9
Latvia,LVA,1980,5.63,51.86
